#Position (bp)	Coverage
4.509669805E8	0.29176424956878216
4.588098845E8	0.2992375018233042
4.666527885E8	0.2779814721689823
4.744956925E8	0.2960690325930293
4.823385965E8	0.27171172820679684
4.893550215E8	0.23539542994397689
4.932764735E8	0.28817005634746923
4.980244045E8	0.2890116977078898
5.058673085E8	0.2667889343029062
5.137102125E8	0.29987298072244667
5.215531165E8	0.29193408461967657
5.293960205E8	0.29391906365295306
5.372389245E8	0.2728925408241641
5.450818285E8	0.2662317427320289
5.529247325E8	0.29543661378489394
5.607676365E8	0.2938852751480829
5.686105405E8	0.2872623456821606
5.764534445E8	0.30229874036453847
5.842963485E8	0.18328466088581474
5.921392525E8	0.29881865186670653
5.999821565E8	0.2993310896066049
6.078250605E8	0.29230894576804717
6.156679645E8	0.2760810281497772
6.235108685E8	0.276732445022915
6.313537725E8	0.2839448245190812
6.391966765E8	0.3009030838577139
6.470395805E8	0.300933557263993
6.548824845E8	0.292196359919744
6.627253885E8	0.305036756793147
6.705682925E8	0.2903575002320569
6.784111965E8	0.28246272044130594
6.862541005E8	0.2721548038838675
6.903239885E8	0.16927160527095853
6.942454405E8	0.2448144932329998
7.019399085E8	0.2727028151817235
7.097828125E8	0.29863466389490423
7.176257165E8	0.2874791021284973
7.254686205E8	0.2942798993842077
7.333115245E8	0.2875345662780011
7.411544285E8	0.17725589909043896
7.489973325E8	0.29093368986793666
7.568402365E8	0.2717545694808964
7.646831405E8	0.2849179334593411
7.725260445E8	0.30525415075844353
7.803689485E8	0.30243134430817975
7.882118525E8	0.3093555652345101
7.960547565E8	0.3091342186516627
8.038976605E8	0.30165242364307915
8.117405645E8	0.29946662613746133
8.195834685E8	0.2934276640387285
8.274263725E8	0.29484933131911345
8.352692765E8	0.30579349179844606
8.431121805E8	0.2927969027798887
8.509550845E8	0.29490721804066455
8.587979885E8	0.2910226875147267
8.666408925E8	0.2971441445668594
8.744837965E8	0.2835519853360439
8.800159745E8	0.27026601669061034
8.839374265E8	0.23583800069761623
8.901696045E8	0.28386016200121794
8.980125085E8	0.28908666993756393
9.058554125E8	0.28924604967751744
9.136983165E8	0.2868557360895913
9.215412205E8	0.2946499153884837
9.293841245E8	0.18720042984078347
9.372270285E8	0.3015241548283646
9.450699325E8	0.30203085489762466
9.529128365E8	0.23684122615806594
9.607557405E8	0.2924813308947808
9.685986445E8	0.305646479926313
9.764415485E8	0.3002997359141461
9.842844525E8	0.29964258137037
9.921273565E8	0.30128929284356915
9.999702605E8	0.2945474023397456
1.0078131645E9	0.2975623570044973
1.0156560685E9	0.2762200072830166
1.0234989725E9	0.28107866677955
1.0313418765E9	0.2778683763055113
1.0391847805E9	0.2909144367953503
1.0470276845E9	0.30035456254469006
1.0548705885E9	0.26149561437957164
1.0606670005E9	0.21058982591628622
1.0645884525E9	0.2683333235605123
1.0705563965E9	0.28791695015009744
1.0783993005E9	0.2916584214214531
1.0862422045E9	0.28924490214338977
1.0940851085E9	0.09606339692542457
1.1019280125E9	0.26922145164597194
1.1097709165E9	0.29568703123230883
1.1176138205E9	0.33236783211932724
1.1254567245E9	0.1860542982548301
1.1332996285E9	0.2921368156488974
1.1411425325E9	0.29428487203209425
1.1489854365E9	0.2913526673283263
1.1568283405E9	0.29138097317014205
1.1646712445E9	0.30047518113188687
1.1725141485E9	0.28866157229516004
1.1803570525E9	0.299597827539391
1.1881999565E9	0.2969073700251845
1.1960428605E9	0.30234260166897364
1.2038857645E9	0.3019613653310049
1.2117286685E9	0.29063775356679106
1.2195715725E9	0.27919250318504474
1.2274144765E9	0.27392149642530367
1.232496478E9	0.22678308852832216
1.23641793E9	0.2149451130563285
1.2431002845E9	0.273786724917199
1.2509431885E9	0.3033747448649123
1.2587860925E9	0.29467018849140575
1.2666289965E9	0.287144404674595
