#Position (bp)	insert size
9.764415485E8	196.80808851583365
9.842844525E8	197.81068956677774
9.921273565E8	196.85721551176096
9.999702605E8	197.1313249869588
1.0078131645E9	199.05335385404643
1.0156560685E9	196.5808864265928
1.0234989725E9	198.15988530857456
1.0313418765E9	196.99684239428885
1.0391847805E9	196.2681740502169
1.0470276845E9	195.93586487172973
1.0548705885E9	197.3804570758863
1.0606670005E9	199.5583969465649
1.0645884525E9	198.3138586956522
1.0705563965E9	198.86746347941568
1.0783993005E9	198.9926451273969
1.0862422045E9	199.41737176097303
1.0940851085E9	198.93037974683546
1.1019280125E9	198.54586894586893
1.1097709165E9	197.1178677707336
1.1176138205E9	196.76534130085037
1.1254567245E9	197.36058184798196
1.1332996285E9	197.6431100039334
1.1411425325E9	197.23803936905227
1.1489854365E9	198.00655995801628
1.1568283405E9	197.1341623036649
1.1646712445E9	197.0291052364006
1.1725141485E9	199.16083730789614
1.1803570525E9	197.8171275646744
1.1881999565E9	197.8456893228832
1.1960428605E9	197.4999366366747
1.2038857645E9	198.76463878326996
1.2117286685E9	198.11259492013616
1.2195715725E9	199.4168262653899
1.2274144765E9	196.6611823759063
1.232496478E9	195.48777714610574
1.23641793E9	197.63744016124969
1.2431002845E9	198.7192200557103
1.2509431885E9	198.9784118166898
1.2587860925E9	196.4868574388191
1.2666289965E9	198.1506264996001
1.2744719005E9	197.0522007514761
1.2823148045E9	196.50573927302543
1.2901577085E9	196.69884249689954
1.2980006125E9	195.6474820143885
1.3058435165E9	197.3532458563536
1.3136864205E9	199.3711962224554
1.3215293245E9	199.56594094094095
1.3293722285E9	197.94665062174087
1.3372151325E9	199.12357357357357
1.3450580365E9	197.10968967701078
1.3529009405E9	198.00446871896722
1.3607438445E9	197.9205224399055
1.3685867485E9	197.9159051781221
1.3764296525E9	199.560448691317
1.3842725565E9	196.87099605089952
1.3904948495E9	196.60778044231282
1.3944163015E9	197.94022556390976
1.3999583645E9	197.33001893939394
1.4078012685E9	199.1277502750275
1.4156441725E9	197.64416159380187
1.4234870765E9	197.57204358939862
1.4313299805E9	197.35929473830348
1.4391728845E9	196.94318829564887
1.4470157885E9	197.55187223191518
1.4548586925E9	197.2010276172126
1.4627015965E9	196.29925507320831
1.4705445005E9	197.06953854020196
1.4783874045E9	197.98087323572088
1.4862303085E9	196.9717184527584
1.4940732125E9	199.9535532994924
1.5019161165E9	199.17438592203348
1.5097590205E9	196.5121951219512
1.5176019245E9	198.3242577466615
1.5254448285E9	198.00261403738074
1.5332877325E9	197.46922148461076
1.5381844485E9	196.48597285067873
1.5421059005E9	199.73207820419987
1.5489735405E9	198.15694372741353
1.5568164445E9	197.70434334321433
1.5646593485E9	198.3488220747104
1.5725022525E9	197.4811622410677
1.5803451565E9	200.61828952239912
1.5881880605E9	208.15463917525773
1.5960309645E9	0.0
1.6038738685E9	203.31986242476356
1.6117167725E9	199.6852358718403
1.6195596765E9	198.03882230328296
1.6274025805E9	198.57546160021408
1.6352454845E9	197.63984564813492
1.6430883885E9	197.80033622138885
1.6509312925E9	198.43450849202264
1.6587741965E9	198.11414527580558
1.6666171005E9	198.82988100484795
1.6744600045E9	197.61352657004832
1.6793773E9	200.38525963149078
1.683298752E9	197.5855685681904
1.6901458125E9	198.47370507399577
1.6979887165E9	197.76537460621833
1.7058316205E9	198.88937710002585
1.7136745245E9	199.37825461206333
1.7215174285E9	196.29113110539845
1.7293603325E9	199.77887323943662
1.7372032365E9	197.02506999236448
