#Position (bp)	insert size
7.725260445E8	175.50105263157894
7.803689485E8	174.44135802469137
7.882118525E8	174.5504547423127
7.960547565E8	176.47847100175747
8.038976605E8	172.88790429774036
8.117405645E8	174.60667903525047
8.195834685E8	173.74505395683454
8.274263725E8	177.79183860614398
8.352692765E8	179.57073954983923
8.431121805E8	178.57038539553753
8.509550845E8	179.99419642857143
8.587979885E8	177.4197267292912
8.666408925E8	176.1885421120137
8.744837965E8	179.80454350621517
8.800159745E8	181.78675136116152
8.839374265E8	181.55794270833334
8.901696045E8	178.79599843075715
8.980125085E8	177.97621926642483
9.058554125E8	178.4004424778761
9.136983165E8	178.9757322175732
9.215412205E8	178.4544
9.293841245E8	177.8361730013106
9.372270285E8	181.09476720230737
9.450699325E8	178.06603400553578
9.529128365E8	182.27395026498166
9.607557405E8	180.125
9.685986445E8	179.78659611992944
9.764415485E8	180.45811518324606
9.842844525E8	179.38942307692307
9.921273565E8	179.91638935108153
9.999702605E8	178.9198312236287
1.0078131645E9	178.8621665319321
1.0156560685E9	179.88918205804748
1.0234989725E9	180.37705575611713
1.0313418765E9	178.09172521467605
1.0391847805E9	179.97337042925278
1.0470276845E9	176.04333333333332
1.0548705885E9	181.96585557299844
1.0606670005E9	179.2508038585209
1.0645884525E9	181.21028037383178
1.0705563965E9	178.09883720930233
1.0783993005E9	178.63115415657788
1.0862422045E9	180.42266775777415
1.0940851085E9	180.49804839968775
1.1019280125E9	178.26687234863093
1.1097709165E9	178.49332254148118
1.1176138205E9	176.37725258493353
1.1254567245E9	179.18932384341636
1.1332996285E9	181.62097840458352
1.1411425325E9	178.08839547549226
1.1489854365E9	179.62520593080725
1.1568283405E9	178.58663697104677
1.1646712445E9	178.45566922421142
1.1725141485E9	180.12712215320911
1.1803570525E9	178.73735656608585
1.1881999565E9	180.25860585197935
1.1960428605E9	181.4016218523261
1.2038857645E9	181.66722618548047
1.2117286685E9	178.33946078431373
1.2195715725E9	178.59096361455417
1.2274144765E9	177.1209137455691
1.232496478E9	177.94601542416453
1.23641793E9	180.1315110881898
1.2431002845E9	180.5264730999146
1.2509431885E9	179.77478991596638
1.2587860925E9	181.57330595482546
