#Position (bp)	Coverage
9.764415485E8	0.08750597992784305
9.842844525E8	0.08073438104049215
9.921273565E8	0.09203975976245533
9.999702605E8	0.09091466630217583
1.0078131645E9	0.09540483983993683
1.0156560685E9	0.10194004669698876
1.0234989725E9	0.09539272697970037
1.0313418765E9	0.09780752129568333
1.0391847805E9	0.09640625462201245
1.0470276845E9	0.09138923541586126
1.0548705885E9	0.09815280156431852
1.0606670005E9	0.0991357148952511
1.0645884525E9	0.09352956180625187
1.0705563965E9	0.09200138112107455
1.0783993005E9	0.09553642375324242
1.0862422045E9	0.09370457677411326
1.0940851085E9	0.04875400744418139
1.1019280125E9	0.0995252523810058
1.1097709165E9	0.09424162274586047
1.1176138205E9	0.12917995681191557
1.1254567245E9	0.05389037019960974
1.1332996285E9	0.08776086000797664
1.1411425325E9	0.09163493522297353
1.1489854365E9	0.09232192565406895
1.1568283405E9	0.0865111953429495
1.1646712445E9	0.08980971844102643
1.1725141485E9	0.09294694924227047
1.1803570525E9	0.09078792753296483
1.1881999565E9	0.089225496066253
1.1960428605E9	0.0900149995460865
1.2038857645E9	0.09126797930970466
1.2117286685E9	0.0939935003667009
1.2195715725E9	0.09675395746269494
1.2274144765E9	0.09733129463270238
1.232496478E9	0.09842234217497832
1.23641793E9	0.10432639327176531
1.2431002845E9	0.09023953372373295
1.2509431885E9	0.09134040146353953
1.2587860925E9	0.0930995712812499
1.2666289965E9	0.09896933584804812
1.2744719005E9	0.09752191280168672
1.2823148045E9	0.0972500747172221
1.2901577085E9	0.07112505775921776
1.2980006125E9	0.14201601855639187
1.3058435165E9	0.09749194941057547
1.3136864205E9	0.08927917516266934
1.3215293245E9	0.08985714985163659
1.3293722285E9	0.09097956573228488
1.3372151325E9	0.0972856482751797
1.3450580365E9	0.09084594175830789
1.3529009405E9	0.0915672307094413
1.3607438445E9	0.08998388862084758
1.3685867485E9	0.09494136355615217
1.3764296525E9	0.08850267706961605
1.3842725565E9	0.09941139149478305
